identifier,RWS,transportType,accessAllowed,openingHours,permitRequired,bookingRequired,bookingURL,maxHeight,maxLength,maxWidth,maxWeight,trailerCombinedWith,dateUpdated
open3r-trans-eng-dev-devt0000169,hwrc-eng-dev-eb3739rt,hwrc-trans-04,1,,,,,,3.0 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-dev-devt0000170,hwrc-eng-dev-eb3739rt,hwrc-trans-05,0,,,,,,,,,,24/09/2021
open3r-trans-eng-dev-devt0000171,hwrc-eng-dev-eb3739av,hwrc-trans-01,1,,,0,,2.0 m,,,,,24/09/2021
open3r-trans-eng-dev-devt0000172,hwrc-eng-dev-eb3739av,hwrc-trans-02,1,,,0,,3.0 m,6.0 m,,3.5 t,,24/09/2021
open3r-trans-eng-dev-devt0000173,hwrc-eng-dev-eb3739av,hwrc-trans-03,1,,,,,,1.8 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-dev-devt0000174,hwrc-eng-dev-eb3739av,hwrc-trans-04,1,,,,,,3.0 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-dev-devt0000175,hwrc-eng-dev-eb3739av,hwrc-trans-05,0,,,,,,,,,,24/09/2021
open3r-trans-eng-dev-devt0000176,hwrc-eng-dev-kb3136ry,hwrc-trans-01,1,,,0,,2.0 m,,,,,24/09/2021
open3r-trans-eng-dev-devt0000177,hwrc-eng-dev-kb3136ry,hwrc-trans-02,1,,,0,,3.0 m,6.0 m,,3.5 t,,24/09/2021
open3r-trans-eng-dev-devt0000178,hwrc-eng-dev-kb3136ry,hwrc-trans-03,1,,,,,,1.8 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-dev-devt0000179,hwrc-eng-dev-kb3136ry,hwrc-trans-04,1,,,,,,3.0 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-dev-devt0000180,hwrc-eng-dev-kb3136ry,hwrc-trans-05,0,,,,,,,,,,24/09/2021
open3r-trans-eng-dev-devt0000181,hwrc-eng-dev-ep3991hy,hwrc-trans-01,1,,,0,,2.0 m,,,,,24/09/2021
open3r-trans-eng-dev-devt0000182,hwrc-eng-dev-ep3991hy,hwrc-trans-02,1,,,0,,3.0 m,6.0 m,,3.5 t,,24/09/2021
open3r-trans-eng-dev-devt0000183,hwrc-eng-dev-ep3991hy,hwrc-trans-03,1,,,,,,1.8 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-dev-devt0000184,hwrc-eng-dev-ep3991hy,hwrc-trans-04,1,,,,,,3.0 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-dev-devt0000185,hwrc-eng-dev-ep3991hy,hwrc-trans-05,0,,,,,,,,,,24/09/2021
open3r-trans-eng-dev-devt0000186,hwrc-eng-dev-jp3491hv,hwrc-trans-01,1,,,0,,2.0 m,,,,,24/09/2021
open3r-trans-eng-dev-devt0000187,hwrc-eng-dev-jp3491hv,hwrc-trans-02,1,,,0,,3.0 m,6.0 m,,3.5 t,,24/09/2021
open3r-trans-eng-dev-devt0000188,hwrc-eng-dev-jp3491hv,hwrc-trans-03,1,,,,,,1.8 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-dev-devt0000189,hwrc-eng-dev-jp3491hv,hwrc-trans-04,1,,,,,,3.0 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-dev-devt0000190,hwrc-eng-dev-jp3491hv,hwrc-trans-05,0,,,,,,,,,,24/09/2021
open3r-trans-eng-dev-devt0000191,hwrc-eng-dev-jp3091hk,hwrc-trans-01,1,,,0,,2.0 m,,,,,24/09/2021
open3r-trans-eng-dev-devt0000192,hwrc-eng-dev-jp3091hk,hwrc-trans-02,1,,,0,,3.0 m,6.0 m,,3.5 t,,24/09/2021
open3r-trans-eng-dev-devt0000193,hwrc-eng-dev-jp3091hk,hwrc-trans-03,1,,,,,,1.8 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-dev-devt0000194,hwrc-eng-dev-jp3091hk,hwrc-trans-04,1,,,,,,3.0 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-dev-devt0000195,hwrc-eng-dev-jp3091hk,hwrc-trans-05,1,,,,,,,,,,24/09/2021
open3r-trans-eng-som-somt0000195,hwrc-eng-som-fp3990fa,hwrc-trans-01,1,,0,0,,2.0 m,,,,,1/10/2021
open3r-trans-eng-som-somt0000196,hwrc-eng-som-fp3990fa,hwrc-trans-02,1,,1,0,,,,,3.5 t,,1/10/2021
open3r-trans-eng-som-somt0000197,hwrc-eng-som-fp3990fa,hwrc-trans-03,1,,1,0,,,1.8 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-som-somt0000198,hwrc-eng-som-fp3990fa,hwrc-trans-04,1,,1,0,,,3.0 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-som-somt0000199,hwrc-eng-som-fp3990fa,hwrc-trans-05,0,,,,,,,,,,1/10/2021
open3r-trans-eng-som-somt0000200,hwrc-eng-som-qp3193fr,hwrc-trans-01,1,,0,0,,2.0 m,3.0 m,,,,1/10/2021
open3r-trans-eng-som-somt0000201,hwrc-eng-som-qp3193fr,hwrc-trans-02,1,,1,0,,,,,3.5 t,,1/10/2021
open3r-trans-eng-som-somt0000202,hwrc-eng-som-qp3193fr,hwrc-trans-03,1,,1,0,,,1.8 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-som-somt0000203,hwrc-eng-som-qp3193fr,hwrc-trans-04,1,,1,0,,,3.0 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-som-somt0000204,hwrc-eng-som-qp3193fr,hwrc-trans-05,0,,,,,,,,,,1/10/2021
open3r-trans-eng-som-somt0000205,hwrc-eng-som-dp3990vk,hwrc-trans-01,1,,0,0,,2.0 m,,,,,1/10/2021
open3r-trans-eng-som-somt0000206,hwrc-eng-som-dp3990vk,hwrc-trans-02,1,,1,0,,,,,3.5 t,,1/10/2021
open3r-trans-eng-som-somt0000207,hwrc-eng-som-dp3990vk,hwrc-trans-03,1,,1,0,,,1.8 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-som-somt0000208,hwrc-eng-som-dp3990vk,hwrc-trans-04,1,,1,0,,,3.0 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-som-somt0000209,hwrc-eng-som-dp3990vk,hwrc-trans-05,1,,0,0,,,,,,,1/10/2021
open3r-trans-eng-som-somt0000210,hwrc-eng-som-fp3390fx,hwrc-trans-01,1,,0,0,,2.0 m,,,,,1/10/2021
open3r-trans-eng-som-somt0000211,hwrc-eng-som-fp3390fx,hwrc-trans-02,1,,1,0,,,,,3.5 t,,1/10/2021
open3r-trans-eng-som-somt0000212,hwrc-eng-som-fp3390fx,hwrc-trans-03,1,,1,0,,,1.8 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-som-somt0000213,hwrc-eng-som-fp3390fx,hwrc-trans-04,1,,1,0,,,3.0 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-som-somt0000214,hwrc-eng-som-fp3390fx,hwrc-trans-05,1,,0,0,,,,,,,1/10/2021
open3r-trans-eng-som-somt0000215,hwrc-eng-som-ep3893fy,hwrc-trans-01,1,,0,0,,2.0 m,,,,,1/10/2021
open3r-trans-eng-som-somt0000216,hwrc-eng-som-ep3893fy,hwrc-trans-02,1,,1,0,,,,,3.5 t,,1/10/2021
open3r-trans-eng-som-somt0000217,hwrc-eng-som-ep3893fy,hwrc-trans-03,1,,1,0,,,1.8 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-som-somt0000218,hwrc-eng-som-ep3893fy,hwrc-trans-04,1,,1,0,,,3.0 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-som-somt0000219,hwrc-eng-som-ep3893fy,hwrc-trans-05,0,,,,,,,,,,1/10/2021
open3r-trans-eng-som-somt0000220,hwrc-eng-som-bp3391hx,hwrc-trans-01,1,,0,0,,2.0 m,,,,,1/10/2021
open3r-trans-eng-som-somt0000221,hwrc-eng-som-bp3391hx,hwrc-trans-02,1,,1,0,,,,,3.5 t,,1/10/2021
open3r-trans-eng-som-somt0000222,hwrc-eng-som-bp3391hx,hwrc-trans-03,1,,1,0,,,1.8 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-som-somt0000223,hwrc-eng-som-bp3391hx,hwrc-trans-04,1,,1,0,,,3.0 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-som-somt0000224,hwrc-eng-som-bp3391hx,hwrc-trans-05,0,,,,,,,,,,1/10/2021
open3r-trans-eng-som-somt0000225,hwrc-eng-som-fp3190fs,hwrc-trans-01,1,,0,0,,2.0 m,,,,,1/10/2021
open3r-trans-eng-som-somt0000226,hwrc-eng-som-fp3190fs,hwrc-trans-02,1,,1,0,,,,,3.5 t,,1/10/2021
open3r-trans-eng-som-somt0000227,hwrc-eng-som-fp3190fs,hwrc-trans-03,1,,1,0,,,1.8 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-som-somt0000228,hwrc-eng-som-fp3190fs,hwrc-trans-04,1,,1,0,,,3.0 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-som-somt0000229,hwrc-eng-som-fp3190fs,hwrc-trans-05,1,,0,0,,,,,,,1/10/2021
open3r-trans-eng-som-somt0000230,hwrc-eng-som-dp3593fn,hwrc-trans-01,1,,0,0,,2.0 m,,,,,1/10/2021
open3r-trans-eng-som-somt0000231,hwrc-eng-som-dp3593fn,hwrc-trans-02,1,,1,0,,,,,3.5 t,,1/10/2021
open3r-trans-eng-som-somt0000232,hwrc-eng-som-dp3593fn,hwrc-trans-03,1,,1,0,,,1.8 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-som-somt0000233,hwrc-eng-som-dp3593fn,hwrc-trans-04,1,,1,0,,,3.0 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-som-somt0000234,hwrc-eng-som-dp3593fn,hwrc-trans-05,1,,0,0,,,,,,,1/10/2021
open3r-trans-eng-som-somt0000235,hwrc-eng-som-hp3790fv,hwrc-trans-01,1,,0,0,,2.0 m,,,,,1/10/2021
open3r-trans-eng-som-somt0000236,hwrc-eng-som-hp3790fv,hwrc-trans-02,1,,1,0,,,,,3.5 t,,1/10/2021
open3r-trans-eng-som-somt0000237,hwrc-eng-som-hp3790fv,hwrc-trans-03,1,,1,0,,,1.8 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-som-somt0000238,hwrc-eng-som-hp3790fv,hwrc-trans-04,1,,1,0,,,3.0 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-som-somt0000239,hwrc-eng-som-hp3790fv,hwrc-trans-05,1,,0,0,,,,,,,1/10/2021
open3r-trans-eng-som-somt0000240,hwrc-eng-som-hp3190fm,hwrc-trans-01,1,,0,0,,2.0 m,,,,,1/10/2021
open3r-trans-eng-som-somt0000241,hwrc-eng-som-hp3190fm,hwrc-trans-02,1,,1,0,,,,,3.5 t,,1/10/2021
open3r-trans-eng-som-somt0000242,hwrc-eng-som-hp3190fm,hwrc-trans-03,1,,1,0,,,1.8 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-som-somt0000243,hwrc-eng-som-hp3190fm,hwrc-trans-04,1,,1,0,,,3.0 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-som-somt0000244,hwrc-eng-som-hp3190fm,hwrc-trans-05,1,,0,0,,,,,,,1/10/2021
open3r-trans-eng-som-somt0000245,hwrc-eng-som-cp3090fy,hwrc-trans-01,1,,0,0,,2.0 m,,,,,1/10/2021
open3r-trans-eng-som-somt0000246,hwrc-eng-som-cp3090fy,hwrc-trans-02,1,,1,0,,,,,3.5 t,,1/10/2021
open3r-trans-eng-som-somt0000247,hwrc-eng-som-cp3090fy,hwrc-trans-03,1,,1,0,,,1.8 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-som-somt0000248,hwrc-eng-som-cp3090fy,hwrc-trans-04,1,,1,0,,,3.0 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-som-somt0000249,hwrc-eng-som-cp3090fy,hwrc-trans-05,0,,,,,,,,,,1/10/2021
open3r-trans-eng-som-somt0000250,hwrc-eng-som-kb3605kr,hwrc-trans-01,1,,0,0,,2.0 m,,,,,1/10/2021
open3r-trans-eng-som-somt0000251,hwrc-eng-som-kb3605kr,hwrc-trans-02,1,,1,0,,,,,3.5 t,,1/10/2021
open3r-trans-eng-som-somt0000252,hwrc-eng-som-kb3605kr,hwrc-trans-03,1,,1,0,,,1.8 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-som-somt0000253,hwrc-eng-som-kb3605kr,hwrc-trans-04,1,,1,0,,,3.0 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-som-somt0000254,hwrc-eng-som-kb3605kr,hwrc-trans-05,0,,,,,,,,,,1/10/2021
open3r-trans-eng-som-somt0000255,hwrc-eng-som-eb3805gz,hwrc-trans-01,1,,0,0,,2.0 m,,,,,1/10/2021
open3r-trans-eng-som-somt0000256,hwrc-eng-som-eb3805gz,hwrc-trans-02,1,,1,0,,,,,3.5 t,,1/10/2021
open3r-trans-eng-som-somt0000257,hwrc-eng-som-eb3805gz,hwrc-trans-03,1,,1,0,,,1.8 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-som-somt0000258,hwrc-eng-som-eb3805gz,hwrc-trans-04,1,,1,0,,,3.0 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-som-somt0000259,hwrc-eng-som-eb3805gz,hwrc-trans-05,0,,,,,,,,,,1/10/2021
open3r-trans-eng-som-somt0000260,hwrc-eng-som-cp3390fl,hwrc-trans-01,1,,0,0,,2.0 m,,,,,1/10/2021
open3r-trans-eng-som-somt0000261,hwrc-eng-som-cp3390fl,hwrc-trans-02,1,,1,0,,,,,3.5 t,,1/10/2021
open3r-trans-eng-som-somt0000262,hwrc-eng-som-cp3390fl,hwrc-trans-03,1,,1,0,,,1.8 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-som-somt0000263,hwrc-eng-som-cp3390fl,hwrc-trans-04,1,,1,0,,,3.0 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-som-somt0000264,hwrc-eng-som-cp3390fl,hwrc-trans-05,0,,,,,,,,,,1/10/2021
open3r-trans-eng-som-somt0000265,hwrc-eng-som-dp3293ln,hwrc-trans-01,1,,0,0,,2.0 m,,,,,1/10/2021
open3r-trans-eng-som-somt0000266,hwrc-eng-som-dp3293ln,hwrc-trans-02,1,,1,0,,,,,3.5 t,,1/10/2021
open3r-trans-eng-som-somt0000267,hwrc-eng-som-dp3293ln,hwrc-trans-03,1,,1,0,,,1.8 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-som-somt0000268,hwrc-eng-som-dp3293ln,hwrc-trans-04,1,,1,0,,,3.0 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-som-somt0000269,hwrc-eng-som-dp3293ln,hwrc-trans-05,0,,,,,,,,,,1/10/2021
open3r-trans-eng-som-somt0000270,hwrc-eng-som-hp3690fn,hwrc-trans-01,1,,0,0,,2.0 m,,,,,1/10/2021
open3r-trans-eng-som-somt0000271,hwrc-eng-som-hp3690fn,hwrc-trans-02,1,,1,0,,,,,3.5 t,,1/10/2021
open3r-trans-eng-som-somt0000272,hwrc-eng-som-hp3690fn,hwrc-trans-03,1,,1,0,,,1.8 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-som-somt0000273,hwrc-eng-som-hp3690fn,hwrc-trans-04,1,,1,0,,,3.0 m,,,hwrc-trans-01,11/10/2021
open3r-trans-eng-som-somt0000274,hwrc-eng-som-hp3690fn,hwrc-trans-05,0,,,,,,,,,,1/10/2021
open3r-trans-eng-dst-dstt0000275,hwrc-eng-dst-ap3897hl,hwrc-trans-01,1,,0,0,,2.0 m,,,,,4/10/2021
open3r-trans-eng-dst-dstt0000276,hwrc-eng-dst-ap3897hl,hwrc-trans-02,1,,1,0,,,,,3.5 t,,4/10/2021
open3r-trans-eng-dst-dstt0000277,hwrc-eng-dst-ap3897hl,hwrc-trans-03,1,,0,0,,,1.8 m,1.2 m,,hwrc-trans-01,11/10/2021
open3r-trans-eng-dst-dstt0000278,hwrc-eng-dst-ap3897hl,hwrc-trans-04,0,,,,,,,,,,11/10/2021
open3r-trans-eng-dst-dstt0000279,hwrc-eng-dst-ap3897hl,hwrc-trans-05,,,,,,,,,,,4/10/2021
open3r-trans-eng-dst-dstt0000280,hwrc-eng-dst-kb3400cy,hwrc-trans-01,1,,0,0,,2.0 m,,,,,4/10/2021
open3r-trans-eng-dst-dstt0000281,hwrc-eng-dst-kb3400cy,hwrc-trans-02,1,,1,0,,,,,3.5 t,,4/10/2021
open3r-trans-eng-dst-dstt0000282,hwrc-eng-dst-kb3400cy,hwrc-trans-03,1,,0,0,,,1.8 m,1.2 m,,hwrc-trans-01,11/10/2021
open3r-trans-eng-dst-dstt0000283,hwrc-eng-dst-kb3400cy,hwrc-trans-04,0,,,,,,,,,,11/10/2021
open3r-trans-eng-dst-dstt0000284,hwrc-eng-dst-kb3400cy,hwrc-trans-05,,,,,,,,,,,4/10/2021
open3r-trans-eng-dst-dstt0000285,hwrc-eng-dst-kb3308xk,hwrc-trans-01,1,,0,0,,2.0 m,,,,,4/10/2021
open3r-trans-eng-dst-dstt0000286,hwrc-eng-dst-kb3308xk,hwrc-trans-02,1,,1,0,,,,,3.5 t,,4/10/2021
open3r-trans-eng-dst-dstt0000287,hwrc-eng-dst-kb3308xk,hwrc-trans-03,1,,0,0,,,1.8 m,1.2 m,,hwrc-trans-01,11/10/2021
open3r-trans-eng-dst-dstt0000288,hwrc-eng-dst-kb3308xk,hwrc-trans-04,0,,,,,,,,,,11/10/2021
open3r-trans-eng-dst-dstt0000289,hwrc-eng-dst-kb3308xk,hwrc-trans-05,,,,,,,,,,,4/10/2021
open3r-trans-eng-dst-dstt0000290,hwrc-eng-dst-kb3400xa,hwrc-trans-01,1,,0,0,,2.0 m,,,,,4/10/2021
open3r-trans-eng-dst-dstt0000291,hwrc-eng-dst-kb3400xa,hwrc-trans-02,1,,1,0,,,,,3.5 t,,4/10/2021
open3r-trans-eng-dst-dstt0000292,hwrc-eng-dst-kb3400xa,hwrc-trans-03,1,,0,0,,,1.8 m,1.2 m,,hwrc-trans-01,11/10/2021
open3r-trans-eng-dst-dstt0000293,hwrc-eng-dst-kb3400xa,hwrc-trans-04,0,,,,,,,,,,11/10/2021
open3r-trans-eng-dst-dstt0000294,hwrc-eng-dst-kb3400xa,hwrc-trans-05,,,,,,,,,,,4/10/2021
open3r-trans-eng-dst-dstt0000295,hwrc-eng-dst-kb3400ku,hwrc-trans-01,1,,0,0,,2.0 m,,,,,4/10/2021
open3r-trans-eng-dst-dstt0000296,hwrc-eng-dst-kb3400ku,hwrc-trans-02,1,,1,0,,,,,3.5 t,,4/10/2021
open3r-trans-eng-dst-dstt0000297,hwrc-eng-dst-kb3400ku,hwrc-trans-03,1,,0,0,,,1.8 m,1.2 m,,hwrc-trans-01,11/10/2021
open3r-trans-eng-dst-dstt0000298,hwrc-eng-dst-kb3400ku,hwrc-trans-04,0,,,,,,,,,,11/10/2021
open3r-trans-eng-dst-dstt0000299,hwrc-eng-dst-kb3400ku,hwrc-trans-05,,,,,,,,,,,4/10/2021
open3r-trans-eng-dst-dstt0000300,hwrc-eng-dst-kb3400fp,hwrc-trans-01,1,,0,0,,2.0 m,,,,,4/10/2021
open3r-trans-eng-dst-dstt0000301,hwrc-eng-dst-kb3400fp,hwrc-trans-02,1,,1,0,,,,,3.5 t,,4/10/2021
open3r-trans-eng-dst-dstt0000302,hwrc-eng-dst-kb3400fp,hwrc-trans-03,1,,0,0,,,1.8 m,1.2 m,,hwrc-trans-01,11/10/2021
open3r-trans-eng-dst-dstt0000303,hwrc-eng-dst-kb3400fp,hwrc-trans-04,0,,,,,,,,,,11/10/2021
open3r-trans-eng-dst-dstt0000304,hwrc-eng-dst-kb3400fp,hwrc-trans-05,,,,,,,,,,,4/10/2021
open3r-trans-eng-dst-dstt0000305,hwrc-eng-dst-kb3309gw,hwrc-trans-01,1,,0,0,,2.0 m,,,,,4/10/2021
open3r-trans-eng-dst-dstt0000306,hwrc-eng-dst-kb3309gw,hwrc-trans-02,1,,1,0,,,,,3.5 t,,4/10/2021
open3r-trans-eng-dst-dstt0000307,hwrc-eng-dst-kb3309gw,hwrc-trans-03,1,,0,0,,,1.8 m,1.2 m,,hwrc-trans-01,11/10/2021
open3r-trans-eng-dst-dstt0000308,hwrc-eng-dst-kb3309gw,hwrc-trans-04,0,,,,,,,,,,11/10/2021
open3r-trans-eng-dst-dstt0000309,hwrc-eng-dst-kb3309gw,hwrc-trans-05,,,,,,,,,,,4/10/2021
open3r-trans-eng-dst-dstt0000310,hwrc-eng-dst-xp3493fk,hwrc-trans-01,1,,0,0,,2.0 m,,,,,4/10/2021
open3r-trans-eng-dst-dstt0000311,hwrc-eng-dst-xp3493fk,hwrc-trans-02,1,,1,0,,,,,3.5 t,,4/10/2021
open3r-trans-eng-dst-dstt0000312,hwrc-eng-dst-xp3493fk,hwrc-trans-03,1,,0,0,,,1.8 m,1.2 m,,hwrc-trans-01,11/10/2021
open3r-trans-eng-dst-dstt0000313,hwrc-eng-dst-xp3493fk,hwrc-trans-04,0,,,,,,,,,,11/10/2021
open3r-trans-eng-dst-dstt0000314,hwrc-eng-dst-xp3493fk,hwrc-trans-05,,,,,,,,,,,4/10/2021
open3r-trans-eng-dst-dstt0000315,hwrc-eng-dst-kb3309xh,hwrc-trans-01,1,,0,0,,2.0 m,,,,,4/10/2021
open3r-trans-eng-dst-dstt0000316,hwrc-eng-dst-kb3309xh,hwrc-trans-02,1,,1,0,,,,,3.5 t,,4/10/2021
open3r-trans-eng-dst-dstt0000317,hwrc-eng-dst-kb3309xh,hwrc-trans-03,1,,0,0,,,1.8 m,1.2 m,,hwrc-trans-01,11/10/2021
open3r-trans-eng-dst-dstt0000318,hwrc-eng-dst-kb3309xh,hwrc-trans-04,0,,,,,,,,,,11/10/2021
open3r-trans-eng-dst-dstt0000319,hwrc-eng-dst-kb3309xh,hwrc-trans-05,,,,,,,,,,,4/10/2021
open3r-trans-eng-dst-dstt0000320,hwrc-eng-dst-kb3309fv,hwrc-trans-01,1,,0,0,,2.0 m,,,,,4/10/2021
open3r-trans-eng-dst-dstt0000321,hwrc-eng-dst-kb3309fv,hwrc-trans-02,1,,1,0,,,,,3.5 t,,4/10/2021
open3r-trans-eng-dst-dstt0000322,hwrc-eng-dst-kb3309fv,hwrc-trans-03,1,,0,0,,,1.8 m,1.2 m,,hwrc-trans-01,11/10/2021
open3r-trans-eng-dst-dstt0000323,hwrc-eng-dst-kb3309fv,hwrc-trans-04,0,,,,,,,,,,11/10/2021
open3r-trans-eng-dst-dstt0000324,hwrc-eng-dst-kb3309fv,hwrc-trans-05,,,,,,,,,,,4/10/2021
open3r-trans-eng-bpc-bpct0000325,hwrc-eng-bpc-up3093fy,hwrc-trans-01,1,,0,0,,2.0 m,,,,,4/10/2021
open3r-trans-eng-bpc-bpct0000326,hwrc-eng-bpc-up3093fy,hwrc-trans-02,1,,1,0,,,,,3.5 t,,4/10/2021
open3r-trans-eng-bpc-bpct0000327,hwrc-eng-bpc-up3093fy,hwrc-trans-03,1,,0,0,,,1.8 m,1.2 m,,hwrc-trans-01,11/10/2021
open3r-trans-eng-bpc-bpct0000328,hwrc-eng-bpc-up3093fy,hwrc-trans-04,0,,,,,,,,,,11/10/2021
open3r-trans-eng-bpc-bpct0000329,hwrc-eng-bpc-up3093fy,hwrc-trans-05,1,,0,0,,,,,,,4/10/2021
open3r-trans-eng-bpc-bpct0000330,hwrc-eng-bpc-ap3997hu,hwrc-trans-01,1,,0,0,,2.0 m,,,,,4/10/2021
open3r-trans-eng-bpc-bpct0000331,hwrc-eng-bpc-ap3997hu,hwrc-trans-02,1,,1,0,,,,,3.5 t,,4/10/2021
open3r-trans-eng-bpc-bpct0000332,hwrc-eng-bpc-ap3997hu,hwrc-trans-03,1,,0,0,,,1.8 m,1.2 m,,hwrc-trans-01,11/10/2021
open3r-trans-eng-bpc-bpct0000333,hwrc-eng-bpc-ap3997hu,hwrc-trans-04,0,,,,,,,,,,11/10/2021
open3r-trans-eng-bpc-bpct0000334,hwrc-eng-bpc-ap3997hu,hwrc-trans-05,1,,0,0,,,,,,,4/10/2021
open3r-trans-eng-bpc-bpct0000335,hwrc-eng-bpc-kb3309ha,hwrc-trans-01,1,,0,0,,2.0 m,,,,,4/10/2021
open3r-trans-eng-bpc-bpct0000336,hwrc-eng-bpc-kb3309ha,hwrc-trans-02,1,,1,0,,,,,3.5 t,,4/10/2021
open3r-trans-eng-bpc-bpct0000337,hwrc-eng-bpc-kb3309ha,hwrc-trans-03,1,,0,0,,,1.8 m,1.2 m,,hwrc-trans-01,11/10/2021
open3r-trans-eng-bpc-bpct0000338,hwrc-eng-bpc-kb3309ha,hwrc-trans-04,0,,,,,,,,,,11/10/2021
open3r-trans-eng-bpc-bpct0000339,hwrc-eng-bpc-kb3309ha,hwrc-trans-05,1,,0,0,,,,,,,4/10/2021
open3r-trans-eng-wil-wilt0000340,hwrc-eng-wil-kp3093ff,hwrc-trans-01,1,,0,0,,2.0 m,,,,,4/10/2021
open3r-trans-eng-wil-wilt0000341,hwrc-eng-wil-kp3093ff,hwrc-trans-02,1,,1,0,,,,,3.5 t,,4/10/2021
open3r-trans-eng-wil-wilt0000342,hwrc-eng-wil-kp3093ff,hwrc-trans-03,1,,0,0,,,1.8 m,,,,11/10/2021
open3r-trans-eng-wil-wilt0000343,hwrc-eng-wil-kp3093ff,hwrc-trans-04,1,,1,0,,,3.0 m,,,,11/10/2021
open3r-trans-eng-wil-wilt0000344,hwrc-eng-wil-kp3093ff,hwrc-trans-05,,,,,,,,,,,4/10/2021
open3r-trans-eng-wil-wilt0000345,hwrc-eng-wil-fb3505mn,hwrc-trans-01,1,,0,0,,2.0 m,,,,,4/10/2021
open3r-trans-eng-wil-wilt0000346,hwrc-eng-wil-fb3505mn,hwrc-trans-02,1,,1,0,,,,,3.5 t,,4/10/2021
open3r-trans-eng-wil-wilt0000347,hwrc-eng-wil-fb3505mn,hwrc-trans-03,1,,0,0,,,1.8 m,,,,11/10/2021
open3r-trans-eng-wil-wilt0000348,hwrc-eng-wil-fb3505mn,hwrc-trans-04,1,,1,0,,,3.0 m,,,,11/10/2021
open3r-trans-eng-wil-wilt0000349,hwrc-eng-wil-fb3505mn,hwrc-trans-05,,,,,,,,,,,4/10/2021
open3r-trans-eng-wil-wilt0000350,hwrc-eng-wil-bb3330af,hwrc-trans-01,1,,0,0,,2.0 m,,,,,4/10/2021
open3r-trans-eng-wil-wilt0000351,hwrc-eng-wil-bb3330af,hwrc-trans-02,1,,1,0,,,,,3.5 t,,4/10/2021
